0.64	8.820	8.780	9.16	9.39	8.55	8.76	8.50	9.90	8.55	8.618	8.73	8.577 	8.97	9.60	9.74
0.65	9.020	8.983	9.30	9.63	8.71	9.03	8.74	10.11	8.76	8.790	8.95	8.749 	9.20	9.80	9.91
0.66	9.200	9.162	9.57	9.81	8.91	9.26	8.96	10.32	8.95	8.997	9.21	8.966 	9.45	10.00	10.13
0.67	9.460	9.352	9.82	10.13	9.13	9.46	9.17	10.54	9.18	9.169	9.36	9.164 	9.70	10.20	10.32
0.68	9.680	9.501	9.99	10.47	9.35	9.69	9.35	10.76	9.39	9.307	9.54	9.387 	9.94	10.40	10.55
0.69	9.850	9.701	10.24	10.74	9.54	9.93	9.56	10.99	9.59	9.479	9.83	9.555 	10.19	10.60	10.72
0.7	10.130	9.868	10.59	11.07	9.74	10.14	9.86	11.21	9.79	9.651	10.08	9.775 	10.44	10.80	10.97
0.71	10.310	10.079	10.76	11.32	9.94	10.34	10.06	11.44	10.01	9.823	10.26	9.920 	10.68	11.00	11.21
0.72	10.540	10.258	11.14	11.63	10.14	10.66	10.35	11.68	10.16	9.995	10.59	10.259 	10.93	11.20	11.41
0.73	10.770	10.490	11.29	11.71	10.38	10.92	10.66	11.92	10.35	10.202	10.85	10.495 	11.17	11.40	11.66
0.74	11.000	10.696	11.51	11.97	10.61	11.18	10.88	12.17	10.57	10.409	11.00	10.716 	11.41	11.70	11.90
0.75	11.240	10.930	11.82	12.23	10.77	11.37	11.09	12.41	10.83	10.650	11.42	11.000 	11.65	11.90	12.10
0.76	11.490	11.162	12.19	12.53	11.04	11.61	11.38	12.66	11.10	10.891	11.60	11.232 	11.89	12.10	12.37
0.77	11.710	11.348	12.42	12.68	11.25	11.80	11.58	12.92	11.41	11.132	11.82	11.566 	12.13	12.40	12.61
0.78	12.000	11.597	12.73	13.03	11.52	12.10	11.83	13.17	11.74	11.408	12.12	11.778 	12.38	12.60	12.86
0.79	12.250	11.827	12.84	13.23	11.81	12.43	12.12	13.44	12.03	11.683	12.44	12.034 	12.62	12.90	13.15
0.8	12.510	12.146	13.07	13.53	12.04	12.73	12.39	13.71	12.37	11.924	12.68	12.351 	12.86	13.10	13.46
0.81	12.790	12.427	13.26	13.74	12.26	12.87	12.74	13.98	12.65	12.234	13.08	12.569 	13.14	13.40	13.71
0.82	13.100	12.687	13.46	14.03	12.56	13.20	13.07	14.26	12.95	12.510	13.42	12.802 	13.47	13.70	14.00
0.83	13.380	12.943	13.74	14.28	12.83	13.47	13.30	14.55	13.22	12.820	13.88	13.081 	13.79	13.90	14.30
0.84	13.660	13.226	14.17	14.65	13.10	13.85	13.59	14.84	13.63	13.095	14.10	13.390 	14.12	14.30	14.64
0.85	13.960	13.527	14.51	14.83	13.35	14.19	13.92	15.14	14.05	13.371	14.31	13.705 	14.47	14.60	14.99
0.86	14.330	13.868	14.76	15.15	13.64	14.51	14.21	15.45	14.50	13.646	14.57	13.931 	14.82	14.90	15.31
0.87	14.620	14.250	14.97	15.44	13.99	14.96	14.62	15.78	14.88	13.922	14.75	14.370 	15.17	15.20	15.74
0.88	14.910	14.632	15.23	15.85	14.34	15.30	14.87	16.12	15.26	14.266	15.31	14.648 	15.53	15.60	16.10
0.89	15.250	14.874	15.52	16.38	14.73	15.77	15.20	16.47	15.70	14.645	16.01	14.976 	15.88	16.10	16.48
0.9	15.640	15.318	15.72	16.60	15.11	16.19	15.51	16.84	16.03	15.024	16.56	15.370 	16.28	16.50	17.00
0.91	16.010	15.673	16.16	16.84	15.44	16.61	15.91	17.23	16.43	15.403	17.04	15.747 	16.70	16.90	17.29
0.92	16.520	16.017	16.59	17.28	15.81	16.96	16.32	17.63	16.77	15.851	17.31	16.251 	17.13	17.30	17.74
0.93	16.980	16.435	17.05	17.72	16.16	17.30	16.79	18.06	17.27	16.333	17.71	16.832 	17.58	17.70	18.13
0.94	17.450	16.888	17.62	18.14	16.65	17.73	17.19	18.52	17.75	16.918	18.22	17.353 	18.03	18.20	18.70
0.95	18.060	17.447	17.90	19.02	17.11	18.13	17.61	19.01	18.20	17.504	18.33	17.914 	18.49	18.70	19.05
0.96	18.690	18.133	18.59	19.40	17.82	18.57	17.94	19.56	18.82	18.193	18.70	18.622 	18.95	19.30	19.62
0.97	19.220	18.963	19.40	20.13	18.44	19.14	18.32	20.17	19.51	18.950	19.11	19.412 	19.53	19.90	20.20
0.98	19.870	19.829	20.60	20.81	19.03	19.57	18.81	20.92	20.40	19.949	19.39	20.048 	20.18	20.60	20.76
0.99	20.670	20.952	21.44	21.65	19.82	20.12	19.21	21.94	21.49	21.223	20.09	20.901 	21.02	21.50	21.55
1	22.340	27.626	24.88	24.57	20.92	21.27	19.86	25.66	27.44	27.640	24.43	23.336 	23.99	23.50	23.15
